iter	Logloss
0	0.6770059462
5	0.6297105903
10	0.6074281684
15	0.594031684
20	0.5846498698
25	0.5779559896
30	0.5724075521
35	0.5680922309
40	0.5643002604
45	0.5610346354
50	0.5584775174
55	0.5561133681
60	0.5536873698
65	0.5515619358
70	0.5495396701
75	0.5481028646
80	0.5467709635
85	0.5454076389
90	0.5440820312
95	0.5426690538
100	0.5414101128
105	0.5404398872
110	0.5394324653
115	0.5384743924
120	0.5375690104
125	0.5367236111
130	0.5359573785
135	0.5352438802
140	0.5343692274
145	0.5336319444
150	0.5329200521
155	0.5322673611
160	0.5316584635
165	0.5310427951
170	0.530411849
175	0.529859375
180	0.5293036024
185	0.5287466146
190	0.5281343316
195	0.5276249566
200	0.5271555556
205	0.5266797743
210	0.526206901
215	0.5256226128
220	0.5251653646
225	0.524684809
230	0.5243111111
235	0.5238605035
240	0.5234330295
245	0.5230251736
250	0.5225925781
255	0.5222252604
260	0.5218710937
265	0.5213611111
270	0.5209539931
275	0.5206307292
280	0.5202569878
285	0.5199023003
290	0.5195657118
295	0.5192146267
300	0.5188864583
305	0.5185717448
310	0.5182092882
315	0.5179003038
320	0.5175382378
325	0.5171485243
330	0.5168164931
335	0.5165157986
340	0.5162324219
345	0.5159547743
350	0.5156970486
355	0.5153966146
360	0.5150914063
365	0.5147491319
370	0.5144886285
375	0.5142111111
380	0.5139153212
385	0.5136244358
390	0.5133846788
395	0.5130693142
400	0.5128090712
405	0.5125073351
410	0.5121981337
415	0.5119427083
420	0.5116754774
425	0.511406684
430	0.5111275608
435	0.5108779948
440	0.5106007812
445	0.5103418403
450	0.5101190972
455	0.509840625
460	0.5095626736
465	0.5093030816
470	0.5090440538
475	0.5088259549
480	0.5085805556
485	0.5083707031
490	0.5081594618
495	0.5079341146
500	0.5077029948
505	0.507437066
510	0.5071857639
515	0.5069575521
520	0.5067702257
525	0.5065419271
530	0.5063070747
535	0.5061128038
540	0.5059019097
545	0.5056775608
550	0.5054750868
555	0.5052509983
560	0.5050329861
565	0.504847092
570	0.5046812066
575	0.5044943576
580	0.5043018229
585	0.5041075521
590	0.5038894965
595	0.5036733073
600	0.5034454861
605	0.5032652778
610	0.5030799913
615	0.5028978733
620	0.5026925347
625	0.502487066
630	0.5022535156
635	0.5020853299
640	0.5018835503
645	0.5017171007
650	0.5015415799
655	0.5013528212
660	0.5011560764
665	0.5009704861
670	0.5007479167
675	0.5005543403
680	0.5003710069
685	0.5002015191
690	0.5000094184
695	0.4998358941
700	0.4996403212
705	0.4994500434
710	0.499275434
715	0.4990935764
720	0.4989338976
725	0.4987615885
730	0.4985717014
735	0.498416059
740	0.4982553385
745	0.4980837674
750	0.497886849
755	0.4977398872
760	0.4975462674
765	0.497368967
770	0.4971885417
775	0.4970300781
780	0.4968052517
785	0.4966263021
790	0.4964526042
795	0.4962793837
800	0.4961200521
805	0.495962066
810	0.4957963976
815	0.4956257813
820	0.4954530816
825	0.4952601563
830	0.4950747396
835	0.494902474
840	0.4947682292
845	0.4946031684
850	0.494446658
855	0.4943020833
860	0.4941527778
865	0.4939898437
870	0.4938398872
875	0.4936798611
880	0.4935348958
885	0.4933764323
890	0.4932414497
895	0.4930934896
900	0.4929161458
905	0.4927730469
910	0.4926124132
915	0.4924442708
920	0.492271441
925	0.4921277344
930	0.4919651042
935	0.4918093316
940	0.4916610243
945	0.4915007813
950	0.4913413194
955	0.4912080295
960	0.4910496094
965	0.4908896267
970	0.4907615017
975	0.4906231771
980	0.4904824219
985	0.4903473958
990	0.4901994792
995	0.4900614149
999	0.4899515191
