iter	Passed	Remaining
0	33	33187
1	68	33610
2	99	32672
3	130	32149
4	161	31792
5	193	31750
6	226	31776
7	256	31541
8	286	31271
9	321	31460
10	353	31450
11	388	31676
12	418	31462
13	450	31402
14	483	31432
15	512	31212
16	544	31173
17	578	31218
18	610	31175
19	641	31130
20	673	31054
21	703	30963
22	732	30804
23	764	30783
24	796	30738
25	830	30783
26	860	30700
27	892	30652
28	923	30594
29	953	30526
30	982	30391
31	1011	30279
32	1040	30176
33	1068	30034
34	1097	29941
35	1127	29889
36	1160	29898
37	1190	29833
38	1216	29667
39	1244	29545
40	1271	29422
41	1301	29367
42	1331	29329
43	1360	29260
44	1387	29134
45	1417	29085
46	1445	28995
47	1473	28923
48	1504	28898
49	1532	28802
50	1563	28787
51	1595	28783
52	1624	28712
53	1655	28690
54	1685	28650
55	1717	28651
56	1748	28623
57	1778	28576
58	1810	28571
59	1842	28552
60	1870	28488
61	1900	28452
62	1931	28420
63	1963	28407
64	1996	28413
65	2028	28395
66	2058	28364
67	2088	28313
68	2116	28251
69	2145	28203
70	2176	28170
71	2205	28126
72	2238	28120
73	2270	28100
74	2298	28038
75	2329	28018
76	2362	28013
77	2393	27990
78	2426	27983
79	2456	27943
80	2487	27910
81	2517	27881
82	2547	27834
83	2577	27798
84	2607	27764
85	2636	27710
86	2664	27655
87	2698	27656
88	2727	27611
89	2761	27612
90	2792	27585
91	2824	27570
92	2855	27540
93	2886	27510
94	2916	27478
95	2948	27455
96	2977	27408
97	3007	27373
98	3035	27323
99	3064	27271
100	3091	27209
101	3121	27179
102	3152	27146
103	3185	27138
104	3215	27101
105	3245	27069
106	3277	27044
107	3304	26986
108	3334	26950
109	3363	26908
110	3396	26899
111	3428	26874
112	3458	26845
113	3488	26807
114	3517	26763
115	3546	26722
116	3575	26681
117	3607	26658
118	3638	26628
119	3669	26603
120	3703	26594
121	3736	26583
122	3764	26532
123	3794	26500
124	3824	26462
125	3851	26412
126	3881	26375
127	3910	26332
128	3940	26297
129	3970	26266
130	3999	26223
131	4027	26179
132	4057	26144
133	4086	26104
