0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"[0.001, 1, 1.403027057647705, 0.5975194576405846]","[0.001, 2, 1.1680011749267578, 0.6330240383352437]","[0.001, 3, 1.2250003814697266, 0.6340300258957896]","[0.001, 4, 1.2389991283416748, 0.6450272644136867]","[0.001, 5, 1.2580020427703857, 0.6451302451305788]","[0.001, 6, 1.3580031394958496, 0.6309375133622095]","[0.001, 7, 1.395000696182251, 0.6285126120540163]","[0.001, 8, 1.4520001411437988, 0.6337308151419301]","[0.001, 9, 1.6149990558624268, 0.6447694971777954]","[0.001, 10, 1.8419995307922363, 0.6487781062629877]","[0.001, 11, 3.3726320266723633, 0.6511422320924463]","[0.001, 12, 3.4529998302459717, 0.6527173305851945]","[0.001, 13, 4.041000127792358, 0.6524681429352958]","[0.001, 14, 6.227999925613403, 0.6528870352616698]","[0.001, 15, 10.311999797821045, 0.6535208346187864]"
"[0.0076, 1, 0.987030029296875, 0.5964405223287269]","[0.0076, 2, 1.0749988555908203, 0.6337598512092222]","[0.0076, 3, 1.0919995307922363, 0.6405011647849497]","[0.0076, 4, 1.3640010356903076, 0.644057759156681]","[0.0076, 5, 2.7673556804656982, 0.6539250198861141]","[0.0076, 6, 3.6090011596679688, 0.6588033842003173]","[0.0076, 7, 1.437002182006836, 0.6580125685468707]","[0.0076, 8, 1.4670000076293945, 0.657547219315485]","[0.0076, 9, 1.5340051651000977, 0.6579519576125398]","[0.0076, 10, 1.79599928855896, 0.6595714365401936]","[0.0076, 11, 2.3980021476745605, 0.6621179714793854]","[0.0076, 12, 2.680000066757202, 0.6630906432128381]","[0.0076, 13, 3.8049991130828857, 0.6642592150917958]","[0.0076, 14, 5.878997802734375, 0.663950244045517]","[0.0076, 15, 10.156002521514893, 0.6658869726095823]"
"[0.0142, 1, 1.0260028839111328, 0.5955069198578986]","[0.0142, 2, 1.095001459121704, 0.6342978215110795]","[0.0142, 3, 1.2240004539489746, 0.6469442917953973]","[0.0142, 4, 1.1600005626678467, 0.6514126917217611]","[0.0142, 5, 1.2680001258850098, 0.6629481405355481]","[0.0142, 6, 1.3600022792816162, 0.6665555823385685]","[0.0142, 7, 1.345003604888916, 0.6677617369619301]","[0.0142, 8, 1.5589959621429443, 0.6681490343548745]","[0.0142, 9, 1.6050026416778564, 0.668240586860955]","[0.0142, 10, 1.8229999542236328, 0.6694459468552463]","[0.0142, 11, 2.231001615524292, 0.6698089205720823]","[0.0142, 12, 2.7310009002685547, 0.6695155266635489]","[0.0142, 13, 3.775000810623169, 0.6707688862669661]","[0.0142, 14, 5.881998777389526, 0.6707715542942689]","[0.0142, 15, 10.378000736236572, 0.6705490549439544]"
"[0.0208, 1, 1.0659987926483154, 0.5994430684037444]","[0.0208, 2, 1.057002305984497, 0.6388259759382208]","[0.0208, 3, 1.1400034427642822, 0.6539015815391621]","[0.0208, 4, 1.1050009727478027, 0.6633417251300157]","[0.0208, 5, 1.4159958362579346, 0.6677186150910468]","[0.0208, 6, 1.3920023441314697, 0.6700638945663931]","[0.0208, 7, 1.4850010871887207, 0.6705409232398015]","[0.0208, 8, 1.536998987197876, 0.6720780930435705]","[0.0208, 9, 1.744999647140503, 0.6731272313706022]","[0.0208, 10, 1.856001377105713, 0.6747656224701297]","[0.0208, 11, 2.063997745513916, 0.6741202672799571]","[0.0208, 12, 3.988062858581543, 0.6751290930307985]","[0.0208, 13, 4.062999963760376, 0.6758793215998309]","[0.0208, 14, 6.891375541687012, 0.6752141127227345]","[0.0208, 15, 11.095999479293823, 0.6747348374162274]"
"[0.0274, 1, 2.3508191108703613, 0.614598494896128]","[0.0274, 2, 2.5216610431671143, 0.6457140647271385]","[0.0274, 3, 2.2762210369110107, 0.6598561858476286]","[0.0274, 4, 2.516688108444214, 0.6660111795545197]","[0.0274, 5, 2.533325433731079, 0.6692860032738461]","[0.0274, 6, 2.2990007400512695, 0.6710314622127165]","[0.0274, 7, 1.393000602722168, 0.6722883695540033]","[0.0274, 8, 1.5429975986480713, 0.6740257585932039]","[0.0274, 9, 1.5749998092651367, 0.6737274307605338]","[0.0274, 10, 1.783160924911499, 0.6764193972673967]","[0.0274, 11, 2.139000415802002, 0.6768870549363645]","[0.0274, 12, 2.7349965572357178, 0.6771132489105282]","[0.0274, 13, 3.8317694664001465, 0.676174130590234]","[0.0274, 14, 6.983829021453857, 0.6768031565543391]","[0.0274, 15, 11.07599949836731, 0.6762686489088549]"
"[0.034, 1, 1.0010004043579102, 0.6264618791006834]","[0.034, 2, 1.0760023593902588, 0.6503760330844117]","[0.034, 3, 1.0889971256256104, 0.6615562377550469]","[0.034, 4, 1.1319971084594727, 0.6693801716346137]","[0.034, 5, 1.253999948501587, 0.6704186049435534]","[0.034, 6, 1.3490023612976074, 0.672191382266675]","[0.034, 7, 1.3650004863739014, 0.6735761004766624]","[0.034, 8, 1.4989995956420898, 0.6751956741176803]","[0.034, 9, 1.596001148223877, 0.6763102433260807]","[0.034, 10, 1.7910020351409912, 0.6768650918704541]","[0.034, 11, 2.186082363128662, 0.6776653965187182]","[0.034, 12, 2.6879994869232178, 0.6781869099722636]","[0.034, 13, 3.808000326156616, 0.6785107253317005]","[0.034, 14, 6.891120433807373, 0.6780860908069738]","[0.034, 15, 10.684026002883911, 0.6783672851526388]"
"[0.0406, 1, 0.9779996871948242, 0.6300249830095462]","[0.0406, 2, 1.070998191833496, 0.6519777444271154]","[0.0406, 3, 1.0699982643127441, 0.6638436883004639]","[0.0406, 4, 1.1489999294281006, 0.6688606359245324]","[0.0406, 5, 1.2319960594177246, 0.6717430059911693]","[0.0406, 6, 1.3020007610321045, 0.6727269783131888]","[0.0406, 7, 1.3690011501312256, 0.6745021820642696]","[0.0406, 8, 1.4379980564117432, 0.6756806025277655]","[0.0406, 9, 1.6719982624053955, 0.6774693165783531]","[0.0406, 10, 2.0170016288757324, 0.6779808345613804]","[0.0406, 11, 2.2910027503967285, 0.6792447001242942]","[0.0406, 12, 2.8489978313446045, 0.6787758553276546]","[0.0406, 13, 3.9470014572143555, 0.6805051222945697]","[0.0406, 14, 6.05400013923645, 0.6801660797552406]","[0.0406, 15, 10.218002319335938, 0.6794194510966938]"
"[0.0472, 1, 0.958000898361206, 0.6307074529958925]","[0.0472, 2, 1.1700005531311035, 0.6552373217028148]","[0.0472, 3, 1.1469976902008057, 0.664960386151586]","[0.0472, 4, 1.1900005340576172, 0.6703501328000155]","[0.0472, 5, 1.2320010662078857, 0.6739190270665687]","[0.0472, 6, 1.2630209922790527, 0.6752695633840422]","[0.0472, 7, 1.358997106552124, 0.6759931502075164]","[0.0472, 8, 1.4569973945617676, 0.6769529264756722]","[0.0472, 9, 1.5679996013641357, 0.6792321080628241]","[0.0472, 10, 1.8069970607757568, 0.6798627329169374]","[0.0472, 11, 2.0889995098114014, 0.6806793338823882]","[0.0472, 12, 3.562998056411743, 0.6819914639307847]","[0.0472, 13, 3.876997947692871, 0.6807371820760526]","[0.0472, 14, 6.386000633239746, 0.6820987637376036]","[0.0472, 15, 9.955998420715332, 0.6806955354862111]"
"[0.0538, 1, 1.0200002193450928, 0.6336450265059042]","[0.0538, 2, 1.0589978694915771, 0.6565188272284342]","[0.0538, 3, 1.1089975833892822, 0.6662305292841553]","[0.0538, 4, 1.2330007553100586, 0.6713563948687856]","[0.0538, 5, 2.532045841217041, 0.6740761477081302]","[0.0538, 6, 2.775425434112549, 0.6767642494281512]","[0.0538, 7, 2.77000093460083, 0.6765699810815353]","[0.0538, 8, 2.800597906112671, 0.6787120233362941]","[0.0538, 9, 5.503997564315796, 0.6795687145423265]","[0.0538, 10, 1.7829995155334473, 0.6807659099235841]","[0.0538, 11, 3.1259987354278564, 0.6814224148030656]","[0.0538, 12, 2.739999294281006, 0.6823498729450723]","[0.0538, 13, 3.851001024246216, 0.6810507467204823]","[0.0538, 14, 6.566999673843384, 0.6815483619054015]","[0.0538, 15, 10.174002170562744, 0.6809814414204041]"
"[0.0604, 1, 1.0460007190704346, 0.6343497669752659]","[0.0604, 2, 1.1059999465942383, 0.6580707699090107]","[0.0604, 3, 1.1379990577697754, 0.6671838152789146]","[0.0604, 4, 1.2060010433197021, 0.6729433855072975]","[0.0604, 5, 1.2269983291625977, 0.6750532894307675]","[0.0604, 6, 1.3319993019104004, 0.6770557562933066]","[0.0604, 7, 1.3680014610290527, 0.6778633787529185]","[0.0604, 8, 1.466001033782959, 0.6811639974161168]","[0.0604, 9, 1.5830252170562744, 0.6804642045160372]","[0.0604, 10, 1.7779979705810547, 0.6823050807478303]","[0.0604, 11, 2.1390016078948975, 0.6815790482326618]","[0.0604, 12, 2.742001533508301, 0.6821991574954112]","[0.0604, 13, 3.852003335952759, 0.6836392260347529]","[0.0604, 14, 6.2379984855651855, 0.68248931108318]","[0.0604, 15, 10.483999729156494, 0.6827962152912203]"
